Input Address: 0, Input Data: -15487858
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 12882536916
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 12882536916
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 17176715888
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 17176715888
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 21470894860
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 21470894860
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 25765073832
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 25765073832
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 30059252804
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 30059252804
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 34353431776
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 34353431776
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 38647610748
Input Address: 9, Input Data: -23138645
Output Address: 0000001001, Output Data (Fixed): 3530, Output Data (Float): 0.0002104043960571289
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 59238627685
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 0
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 0
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 1333628777
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 1333628777
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 2667257554
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 2667257554
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 4000886331
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 4000886331
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 5334515108
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 5334515108
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 6668143885
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 6668143885
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 8001772662
